;   
;  IMD Data
;   
;  Saved on Wed May 25 16:16:36 2022
;   
;  Structure: 
;   
;  [B4C/Mo/Al] multilayer, N=15, Aperiodic
;      B4C layer (1), z_j=[5.05-87.31] A, sigma[B4C]=6.00 A, sigma[Al/B4C]=6.00 A
;      Mo layer (2), z_j=[5.04-42.07] A, sigma=6.00 A
;      Al layer (3), z_j=[43.36-99.95] A, sigma=6.00 A
;  SiO2 substrate, sigma=1.00 A
;   
;  
;   
;  Theta=5.000 deg
;   
;  Lambda [A] 	R
       1.0000000    7.8038017e-84
       1.0093585    1.2205716e-82
       1.0188046    1.7678152e-81
       1.0283390    3.0706323e-80
       1.0379627    6.3992809e-79
       1.0476765    9.9247011e-78
       1.0574811    1.3397589e-76
       1.0673776    1.7062064e-75
       1.0773666    2.3000158e-74
       1.0874491    3.2971130e-73
       1.0976260    3.3986677e-72
       1.1078981    3.4808892e-71
       1.1182664    4.6810266e-70
       1.1287316    4.2574386e-69
       1.1392948    3.5316617e-68
       1.1499569    3.5200932e-67
       1.1607188    3.9987665e-66
       1.1715813    3.6356131e-65
       1.1825456    2.8903412e-64
       1.1936124    2.7570297e-63
       1.2047828    1.9337356e-62
       1.2160578    1.2583242e-61
       1.2274382    9.5397418e-61
       1.2389252    7.2015076e-60
       1.2505196    5.0463092e-59
       1.2622226    3.4228044e-58
       1.2740351    2.0236531e-57
       1.2859581    1.2863995e-56
       1.2979928    7.1150140e-56
       1.3101400    4.2491472e-55
       1.3224009    2.1983053e-54
       1.3347766    1.1204932e-53
       1.3472681    6.9109452e-53
       1.3598765    3.5155809e-52
       1.3726028    1.8005064e-51
       1.3854483    8.0330452e-51
       1.3984140    3.8831996e-50
       1.4115011    1.7863580e-49
       1.4247106    7.9531370e-49
       1.4380437    3.1845623e-48
       1.4515016    1.4158119e-47
       1.4650855    5.9806178e-47
       1.4787965    2.4394269e-46
       1.4926358    8.0520113e-46
       1.5066046    3.1743242e-45
       1.5207041    1.2490860e-44
       1.5349356    4.2650994e-44
       1.5493003    1.5944974e-43
       1.5637994    5.7128000e-43
       1.5784341    1.8058707e-42
       1.5932059    5.6571825e-42
       1.6081159    2.0697302e-41
       1.6231654    6.4134330e-41
       1.6383558    2.0665277e-40
       1.6536883    6.3457921e-40
       1.6691643    1.8709404e-39
       1.6847852    5.2765968e-39
       1.7005522    1.4973082e-38
       1.7164668    4.0798729e-38
       1.7325303    1.1612046e-37
       1.7487442    3.2781698e-37
       1.7651098    8.7131131e-37
       1.7816286    2.2693356e-36
       1.7983019    6.0784436e-36
       1.8151313    1.5730157e-35
       1.8321182    3.8377631e-35
       1.8492640    9.2757725e-35
       1.8665703    2.1993004e-34
       1.8840386    5.4346849e-34
       1.9016703    1.3030752e-33
       1.9194671    2.9671590e-33
       1.9374304    6.7277902e-33
       1.9555618    1.4998169e-32
       1.9738629    3.3337508e-32
       1.9923353    7.4144069e-32
       2.0109805    1.6184822e-31
       2.0298002    3.4273523e-31
       2.0487961    6.8704124e-31
       2.0679697    1.4932255e-30
       2.0873228    3.0276995e-30
       2.1068570    6.1371712e-30
       2.1265739    1.1940328e-29
       2.1464755    2.4117861e-29
       2.1665632    4.8879641e-29
       2.1868390    9.6027491e-29
       2.2073045    1.7842685e-28
       2.2279615    3.4076789e-28
       2.2488118    6.3394299e-28
       2.2698573    1.2022014e-27
       2.2910997    2.1855043e-27
       2.3125409    3.9591689e-27
       2.3341828    7.3108383e-27
       2.3560272    1.2711478e-26
       2.3780761    2.2777973e-26
       2.4003313    4.0627937e-26
       2.4227947    7.0361476e-26
       2.4454684    1.2246623e-25
       2.4683543    2.1015229e-25
       2.4914544    3.4787790e-25
       2.5147706    5.8012317e-25
       2.5383050    9.8284366e-25
       2.5620597    1.6046509e-24
       2.5860367    2.6126105e-24
       2.6102381    4.2834620e-24
       2.6346660    7.0016131e-24
       2.6593225    1.1172834e-23
       2.6842097    1.7724702e-23
       2.7093298    2.8103650e-23
       2.7346851    4.3677709e-23
       2.7602776    6.7427983e-23
       2.7861096    1.0534384e-22
       2.8121833    1.6242305e-22
       2.8385011    2.4804780e-22
       2.8650652    3.7290951e-22
       2.8918779    5.6099772e-22
       2.9189415    8.5059599e-22
       2.9462583    1.2680559e-21
       2.9738308    1.8514361e-21
       3.0016614    2.7294042e-21
       3.0297524    3.9946134e-21
       3.0581063    5.8582345e-21
       3.0867255    8.5038160e-21
       3.1156126    1.2215225e-20
       3.1447700    1.7380644e-20
       3.1742003    2.4521607e-20
       3.2039060    3.4879692e-20
       3.2338897    4.9254425e-20
       3.2641540    6.9007094e-20
       3.2947015    9.6140116e-20
       3.3255350    1.3436180e-19
       3.3566569    1.8576232e-19
       3.3880702    2.5438534e-19
       3.4197774    3.4739078e-19
       3.4517813    4.7525064e-19
       3.4840847    6.4316364e-19
       3.5166905    8.6886619e-19
       3.5496014    1.1620020e-18
       3.5828203    1.5637886e-18
       3.6163500    2.0870595e-18
       3.6501936    2.7638648e-18
       3.6843539    3.6601248e-18
       3.7188338    4.8345253e-18
       3.7536365    6.3421387e-18
       3.7887649    8.2934053e-18
       3.8242219    1.0797735e-17
       3.8600109    1.4030605e-17
       3.8961347    1.8133931e-17
       3.9325966    2.3380907e-17
       3.9693998    3.0013913e-17
       4.0065474    3.8305095e-17
       4.0440426    4.8814443e-17
       4.0818887    6.2165738e-17
       4.1200890    7.8803695e-17
       4.1586468    9.9384700e-17
       4.1975654    1.2486078e-16
       4.2368482    1.5666027e-16
       4.2764987    1.9647109e-16
       4.3165203    2.4486199e-16
       4.3569164    3.1236537e-16
       4.3976905    3.8824440e-16
       4.4388462    4.7939754e-16
       4.4803871    5.9235453e-16
       4.5223167    7.2742169e-16
       4.5646388    8.9095838e-16
       4.6073569    1.0914664e-15
       4.6504747    1.3312131e-15
       4.6939961    1.6205553e-15
       4.7379248    2.1011421e-15
       4.7822646    2.5446418e-15
       4.8270194    3.0744395e-15
       4.8721930    3.7022010e-15
       4.9177893    4.4583250e-15
       4.9638124    6.1595491e-15
       5.0102661    7.4126864e-15
       5.0571546    8.8746171e-15
       5.1044819    1.0615557e-14
